IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0005650122;Bloqueado;0;A E Vila Esperanca;Soldi & Cardoso Ltda;50709278000100;Av Rio Mirivai;132;Jd Oliveiras;Sao Paulo;(011) 6963-2345;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001270122;Baixada;0;A E Vila Formosa;Antonio Malicia;00000000000000;Av Dr Eduardo Cotching;2086;V Formosa;Sao Paulo;(011) 2710-647;Teorico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000880122;Bloqueado;75;A E Vila Maria;Moraes E Moraes Ltda;62206529000113;Pca Sto Eduardo;83;V Maria;Sao Paulo;(011) 6955-5703;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001000122;Bloqueado;0;A E Vila Maria;Moraes E Moraes Ltda;62206529000202;Rua Pde Saboia De Medeiros;580;V Maria;Sao Paulo;(011) 2016-462;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0005140122;Baixada;0;A E Vila Maria;Moraes E Moraes Ltda;62206529000385;Av Gustavo Adolfo;492;V Gustavo;Sao Paulo;(011) 2012-440;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0018970122;Baixada;0;A E Vila Matilde;Furlanis & Filho Auto Moto Escola Sc Ltda;00000000000000;Av Melchert;808;Vila Matilde;Sao Paulo;(011) 2345-6789;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000551557;Credenciado;68;A E Vitoria Bairro;Centro De Formacao De Condutores Vitoria Valinhos;31723902000180;Rodovia Flavio De Carvalho;1997;Capuava;Valinhos;(019) 3869-8081;Teorico e pratico;Nao;Sim;Sim;5.0;5.0;5.0;5.0;5.0;5.0;5.0;2;5.0
0000190199;Credenciado;81;A E Votuporanga;Cfc Votuporanga Ltda Me;04698365000192;Rua Pernambuco;4058;Centro;Votuporanga;(017) 3421-1421;Pratico;Sim;Nao;Nao;4.8;4.4;4.8;4.8;4.8;3.6;4.8;5;4.6
0001120143;Credenciado;68;A E Wilson;A E Wilson Sc Ltda;02243456000108;Rua Primeiro Centenario;598;V Pandolf;Franca;(016) 3720-9471;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000101585;Credenciado;88;A Esc Guanabara Sc;Centro De Formacao De Condutores Guanabara Sc Ltda;02481995000185;R Cel Luiz Pinto;127;Centro;Santa Lucia;(016) 3396-1200;Teorico e pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001390143;Baixada;0;A Esc Modelo;Auto Escola Modelo Sc Ltda.;00000000000000;Av Presidente Vargas;712;Cidade Nova;Franca;(016) 3724-2996;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000551851;Credenciado;63;A Esc Sao Cristovao;Auto Escola Sao Cristovao S S Ltda - Me;45913563000370;Av Octavio Augusto Rangel;909;J Toledo;Votorantim;(015) 3353-7499;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000251508;Bloqueado;0;A Escola Alternativa;F R L Leonarde Me;07407538000164;Rua Campos Sales;153;Centro;Campo Limpo Paulista;(011) 4038-4188;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000131557;Credenciado;60;A Escola Bandeirante;Cfc Bandeirantes De Valinhos Ltda;06093466000165;Rua Italia;163;Jd Ribeiro;Valinhos;(019) 3871-3652;Pratico;Nao;Nao;Nao;5.0;5.0;5.0;5.0;5.0;4.5;5.0;2;4.9
